City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
haines junction,60.7522,-137.5108,53.6,28,1,8.05,CA,1618881197
tasiilaq,65.6145,-37.6368,24.8,58,75,5.75,GL,1618881218
graham,47.0529,-122.2943,72.0,26,1,5.03,US,1618881225
pevek,69.7008,170.3133,28.47,69,25,12.48,RU,1618881228
sept-iles,50.2001,-66.3821,45.0,70,100,1.14,CA,1618881235
scarborough,54.2797,-0.4044,44.01,81,7,4.79,GB,1618881242
ginir,7.1333,40.7,57.72,81,100,4.85,ET,1618881249
ulety,51.3572,112.4849,51.06,35,12,5.21,RU,1618881253
oka,45.4649,-74.0889,57.2,38,27,4.61,CA,1618881256
fortuna,40.5982,-124.1573,57.0,81,1,13.8,US,1618881260
meulaboh,4.1363,96.1285,77.14,79,96,3.49,ID,1618880974
provideniya,64.3833,-173.3,32.0,59,0,15.66,RU,1618880969
san cristobal,7.7669,-72.225,86.0,42,20,6.91,VE,1618881270
sisimiut,66.9395,-53.6735,21.29,78,99,5.3,GL,1618881273
hilo,19.7297,-155.09,84.2,54,1,20.71,US,1618880969
hays,30.0502,-98.0336,69.8,32,40,6.91,US,1618881302
leningradskiy,69.3833,178.4167,25.41,80,14,7.72,RU,1618881305
hofn,64.2539,-15.2082,35.37,49,6,10.76,IS,1618881309
san policarpo,12.1791,125.5072,80.85,75,100,15.86,PH,1618881326
klaksvik,62.2266,-6.589,39.2,87,20,2.3,FO,1618881336
tura,25.5198,90.2201,73.54,82,19,6.53,IN,1618881340
margate,51.3813,1.3862,46.99,87,6,3.0,GB,1618881343
havre-saint-pierre,50.2334,-63.5986,41.0,93,90,6.91,CA,1618881347
suntar,62.1444,117.6319,23.41,70,68,9.93,RU,1618881350
barrow,71.2906,-156.7887,23.0,80,90,20.71,US,1618881354
pecica,46.1667,21.0667,43.0,93,20,4.61,RO,1618881361
saint george,37.1041,-113.5841,80.01,7,1,14.97,US,1618881303
khatanga,71.9667,102.5,-0.9,92,41,3.6,RU,1618881375
severo-kurilsk,50.6789,156.125,37.58,93,64,17.2,RU,1618881382
yurga,55.7231,84.8861,15.26,79,83,11.18,RU,1618881389
calituban,10.24,124.2919,87.8,66,75,14.97,PH,1618881399
nara,34.6851,135.8049,64.4,48,0,3.44,JP,1618881403
kapit,2.0167,112.9333,78.71,83,99,1.52,MY,1618881406
jamestown,42.097,-79.2353,51.01,87,90,6.91,US,1618881410
san quintin,30.4833,-115.95,68.27,55,0,13.56,MX,1618881413
puri,19.8,85.85,86.0,89,40,5.75,IN,1618881417
sherlovaya gora,50.5667,116.25,44.02,20,100,18.59,RU,1618881420
vardo,70.3705,31.1107,37.94,76,0,9.48,NO,1618881431
pangnirtung,66.1451,-65.7125,16.25,96,100,1.68,CA,1618881434
axim,4.8699,-2.2405,80.13,83,100,4.56,GH,1618881300
safakulevo,54.9901,62.5442,27.61,47,0,4.83,RU,1618881452
thompson,55.7435,-97.8558,24.8,58,90,12.66,CA,1618881455
misratah,32.3754,15.0925,57.97,55,0,2.71,LY,1618881462
marathon,44.9,-89.7668,35.6,51,90,9.22,US,1618881469
chiriguana,9.3624,-73.6031,81.41,67,100,2.55,CO,1618881476
roma,43.2128,-75.4557,46.99,61,1,4.29,US,1618881480
dandong,40.1292,124.3947,61.34,43,36,3.83,CN,1618881483
sakakah,29.9697,40.2064,71.6,18,0,9.22,SA,1618881490
ponta do sol,32.6667,-17.1,60.01,71,1,1.99,PT,1618881494
lompoc,34.6391,-120.4579,55.99,76,2,14.97,US,1618881412
fort nelson,58.8053,-122.7002,57.2,24,20,6.91,CA,1618881364
lata,40.1629,-8.3327,57.99,83,65,4.0,PT,1618881511
yellowknife,62.456,-114.3525,33.8,69,20,9.22,CA,1618881514
nouakchott,18.0858,-15.9785,66.2,88,0,9.22,MR,1618881336
tigil,57.8,158.6667,38.53,69,100,25.39,RU,1618881539
saint-louis,16.3333,-15.0,86.0,28,0,2.3,SN,1618881546
naze,28.3667,129.4833,73.4,46,20,13.8,JP,1618881570
tiksi,71.6872,128.8694,4.35,96,94,3.18,RU,1618881581
barcelos,41.5388,-8.6151,57.2,88,40,3.44,PT,1618881591
georgetown,5.4112,100.3354,82.0,83,20,1.14,MY,1618881595
nicoya,10.1483,-85.452,73.4,94,90,3.44,CR,1618881604
tuktoyaktuk,69.4541,-133.0374,26.6,86,40,6.91,CA,1618881611
kodiak,57.79,-152.4072,42.8,87,90,20.71,US,1618881617
harer,9.3094,42.1258,58.05,76,96,2.59,ET,1618881625
qaanaaq,77.484,-69.3632,-0.54,77,99,7.27,GL,1618881628
bethel,41.3712,-73.414,53.01,62,75,2.04,US,1618881632
beringovskiy,63.05,179.3167,29.3,79,6,8.66,RU,1618881635
san patricio,28.017,-97.5169,66.2,63,90,4.61,US,1618881642
suleja,9.1758,7.1808,80.01,61,70,4.63,NG,1618881646
tokmak,47.2514,35.7058,50.13,75,100,6.2,UA,1618881650
lagoa,39.05,-27.9833,61.59,85,100,11.16,PT,1618881653
torbay,47.6666,-52.7314,39.0,93,90,14.97,CA,1618881681
marsh harbour,26.5412,-77.0636,78.55,79,66,10.2,BS,1618881685
qaqortoq,60.7167,-46.0333,33.8,55,100,3.44,GL,1618881688
nikolskoye,59.7035,30.7861,37.0,64,0,6.71,RU,1618881698
tihemetsa,58.1462,25.0459,41.97,70,100,4.74,EE,1618881702
guerrero negro,27.9769,-114.0611,70.5,43,95,18.19,MX,1618881585
kapaa,22.0752,-159.319,80.01,69,1,11.5,US,1618881712
tazmalt,36.3868,4.3989,57.22,49,100,1.01,DZ,1618881716
velez-malaga,36.7726,-4.1005,57.99,64,14,4.41,ES,1618881726
isla mujeres,21.2311,-86.731,81.0,89,75,10.36,MX,1618881730
bargi,22.9833,79.8667,83.35,21,5,3.33,IN,1618881733
chak azam sahu,30.75,73.0333,74.71,26,100,3.78,PK,1618881737
saskylakh,71.9167,114.0833,1.15,89,50,2.71,RU,1618881740
katangli,51.7102,143.2326,33.71,96,87,12.91,RU,1618881744
upernavik,72.7868,-56.1549,-1.84,78,44,6.55,GL,1618881747
kavaratti,10.5669,72.642,83.71,72,35,9.44,IN,1618881751
albany,42.6001,-73.9662,51.01,66,86,4.29,US,1618881758
yinchuan,38.4681,106.2731,60.19,46,99,0.49,CN,1618881613
katsuura,35.1333,140.3,71.01,52,20,8.05,JP,1618881771
clyde river,70.4692,-68.5914,1.4,85,75,13.8,CA,1618881775
kudahuvadhoo,2.6708,72.8944,81.72,68,65,3.83,MV,1618881782
novyy urgal,51.0736,132.5642,31.95,42,100,12.88,RU,1618881785
gouyave,12.1646,-61.7296,80.6,74,20,10.36,GD,1618881789
chokurdakh,70.6333,147.9167,18.73,86,100,15.73,RU,1618881793
bilibino,68.0546,166.4372,27.75,76,99,3.87,RU,1618881796
lagodekhi,41.8268,46.2767,62.6,63,100,4.61,GE,1618881800
saint anthony,45.0205,-93.218,37.99,41,90,11.5,US,1618881814
hammerfest,70.6634,23.6821,39.2,75,0,3.44,NO,1618881817
victoria,22.2855,114.1577,73.99,75,65,18.68,HK,1618881607
butaritari,3.0707,172.7902,83.17,75,100,11.5,KI,1618881828
rome,34.257,-85.1647,60.8,55,20,3.44,US,1618881834
talnakh,69.4865,88.3972,-3.78,95,45,3.69,RU,1618881845
kolosovka,56.4678,73.611,18.18,61,0,5.48,RU,1618881848
kisangani,0.5167,25.2,71.19,99,100,3.33,CD,1618881852
heihe,50.2441,127.4902,39.2,14,0,20.13,CN,1618881722
orlik,52.5178,99.825,29.91,68,99,4.99,RU,1618881866
yertarskiy,56.7902,64.2995,24.01,51,16,3.27,RU,1618881890
batticaloa,7.7102,81.6924,80.74,74,100,0.51,LK,1618881897
